10987,694,807,1341,597,11,4263,0,0,0,0,0,0,0
10693,742,840,1353,588,11,4473,0,0,0,0,0,0,0
10415,791,820,1387,598,9,4680,0,0,0,0,0,0,0
10118,818,838,1391,601,9,4925,0,0,0,0,0,0,0
9758,924,851,1399,617,10,5141,0,0,0,0,0,0,0
9462,929,892,1439,593,11,5374,0,0,0,0,0,0,0
9162,929,937,1460,617,10,5585,0,0,0,0,0,0,0
8818,938,1007,1512,617,10,5798,0,0,0,0,0,0,0
8510,921,1078,1517,632,10,6032,0,0,0,0,0,0,0
8235,905,1064,1570,668,9,6249,0,0,0,0,0,0,0
7888,941,1049,1655,682,9,6476,0,0,0,0,0,0,0
7586,940,1065,1692,679,8,6730,0,0,0,0,0,0,0
7297,899,1098,1734,673,11,6988,0,0,0,0,0,0,0
7015,881,1073,1794,700,12,7225,0,0,0,0,0,0,0
6804,786,1066,1853,684,13,7494,0,0,0,0,0,0,0
6593,702,1060,1849,729,13,7754,0,0,0,0,0,0,0
6360,678,999,1841,808,13,8001,0,0,0,0,0,0,0
6137,658,964,1832,797,14,8298,0,0,0,0,0,0,0
5918,652,895,1829,802,13,8591,0,0,0,0,0,0,0
5733,616,834,1786,838,16,8877,0,0,0,0,0,0,0
5549,581,797,1729,869,14,9161,0,0,0,0,0,0,0
5359,559,788,1649,840,14,9491,0,0,0,0,0,0,0
5186,565,704,1582,840,14,9809,0,0,0,0,0,0,0
5013,519,698,1529,804,16,10121,0,0,0,0,0,0,0
4828,514,701,1422,821,16,10398,0,0,0,0,0,0,0
4660,501,664,1358,834,15,10668,0,0,0,0,0,0,0
4498,484,636,1309,759,16,10998,0,0,0,0,0,0,0
4332,496,604,1274,705,15,11274,0,0,0,0,0,0,0
4176,473,587,1219,706,13,11526,0,0,0,0,0,0,0
4005,485,590,1150,681,14,11775,0,0,0,0,0,0,0
3854,472,575,1142,631,14,12012,0,0,0,0,0,0,0
3655,504,570,1096,620,13,12242,0,0,0,0,0,0,0
3440,560,572,1046,609,12,12461,0,0,0,0,0,0,0
3247,564,567,1054,565,9,12694,0,0,0,0,0,0,0
3070,552,593,1021,569,9,12886,0,0,0,0,0,0,0
2920,529,610,1021,517,9,13094,0,0,0,0,0,0,0
2736,524,620,1021,508,9,13282,0,0,0,0,0,0,0
2551,529,624,1025,499,9,13463,0,0,0,0,0,0,0
2379,508,652,1033,462,7,13659,0,0,0,0,0,0,0
2213,500,641,1024,478,5,13839,0,0,0,0,0,0,0
2033,505,635,1042,456,6,14023,0,0,0,0,0,0,0
1885,493,598,1083,430,6,14205,0,0,0,0,0,0,0
1762,433,591,1094,457,6,14357,0,0,0,0,0,0,0
1612,427,569,1096,482,6,14508,0,0,0,0,0,0,0
1434,435,580,1090,484,7,14670,0,0,0,0,0,0,0
1291,435,546,1082,468,7,14871,0,0,0,0,0,0,0
1152,426,530,1065,471,7,15049,0,0,0,0,0,0,0
1028,407,530,1011,498,7,15219,0,0,0,0,0,0,0
919,369,498,1000,498,8,15408,0,0,0,0,0,0,0
825,322,479,982,458,7,15627,0,0,0,0,0,0,0
752,293,453,951,432,7,15812,0,0,0,0,0,0,0
680,255,425,912,444,7,15977,0,0,0,0,0,0,0
622,208,401,877,438,7,16147,0,0,0,0,0,0,0
560,192,362,851,416,9,16310,0,0,0,0,0,0,0
505,174,329,778,456,8,16450,0,0,0,0,0,0,0
457,159,289,721,446,8,16620,0,0,0,0,0,0,0
398,152,267,681,412,8,16782,0,0,0,0,0,0,0
360,140,234,626,411,8,16921,0,0,0,0,0,0,0
325,129,200,577,386,7,17076,0,0,0,0,0,0,0
285,115,195,519,357,7,17222,0,0,0,0,0,0,0
223,128,182,475,330,6,17356,0,0,0,0,0,0,0
185,131,156,433,312,5,17478,0,0,0,0,0,0,0
145,126,152,394,272,5,17606,0,0,0,0,0,0,0
115,121,141,357,255,5,17706,0,0,0,0,0,0,0
89,99,148,318,239,6,17801,0,0,0,0,0,0,0
